+----------------+--------------------------------------------------------------------------+------------------------------------------------+
| U+0622->U+0627 | ARABIC LETTER ALEF WITH MADDA ABOVE                                      | ARABIC LETTER ALEF                             |
| U+0623->U+0627 | ARABIC LETTER ALEF WITH HAMZA ABOVE                                      | ARABIC LETTER ALEF                             |
| U+0624->U+0648 | ARABIC LETTER WAW WITH HAMZA ABOVE                                       | ARABIC LETTER WAW                              |
| U+0625->U+0627 | ARABIC LETTER ALEF WITH HAMZA BELOW                                      | ARABIC LETTER ALEF                             |
| U+0626->U+064A | ARABIC LETTER YEH WITH HAMZA ABOVE                                       | ARABIC LETTER YEH                              |
| U+06C0->U+06D5 | ARABIC LETTER HEH WITH YEH ABOVE                                         | ARABIC LETTER AE                               |
| U+06C2->U+06C1 | ARABIC LETTER HEH GOAL WITH HAMZA ABOVE                                  | ARABIC LETTER HEH GOAL                         |
| U+06D3->U+06D2 | ARABIC LETTER YEH BARREE WITH HAMZA ABOVE                                | ARABIC LETTER YEH BARREE                       |
| U+FB50->U+0671 | ARABIC LETTER ALEF WASLA ISOLATED FORM                                   | ARABIC LETTER ALEF WASLA                       |
| U+FB51->U+0671 | ARABIC LETTER ALEF WASLA FINAL FORM                                      | ARABIC LETTER ALEF WASLA                       |
| U+FB52->U+067B | ARABIC LETTER BEEH ISOLATED FORM                                         | ARABIC LETTER BEEH                             |
| U+FB53->U+067B | ARABIC LETTER BEEH FINAL FORM                                            | ARABIC LETTER BEEH                             |
| U+FB54->U+067B | ARABIC LETTER BEEH INITIAL FORM                                          | ARABIC LETTER BEEH                             |
| U+FB56->U+067E | ARABIC LETTER PEH ISOLATED FORM                                          | ARABIC LETTER PEH                              |
| U+FB57->U+067E | ARABIC LETTER PEH FINAL FORM                                             | ARABIC LETTER PEH                              |
| U+FB58->U+067E | ARABIC LETTER PEH INITIAL FORM                                           | ARABIC LETTER PEH                              |
| U+FB5A->U+0680 | ARABIC LETTER BEHEH ISOLATED FORM                                        | ARABIC LETTER BEHEH                            |
| U+FB5B->U+0680 | ARABIC LETTER BEHEH FINAL FORM                                           | ARABIC LETTER BEHEH                            |
| U+FB5C->U+0680 | ARABIC LETTER BEHEH INITIAL FORM                                         | ARABIC LETTER BEHEH                            |
| U+FB5E->U+067A | ARABIC LETTER TTEHEH ISOLATED FORM                                       | ARABIC LETTER TTEHEH                           |
| U+FB5F->U+067A | ARABIC LETTER TTEHEH FINAL FORM                                          | ARABIC LETTER TTEHEH                           |
| U+FB60->U+067A | ARABIC LETTER TTEHEH INITIAL FORM                                        | ARABIC LETTER TTEHEH                           |
| U+FB62->U+067F | ARABIC LETTER TEHEH ISOLATED FORM                                        | ARABIC LETTER TEHEH                            |
| U+FB63->U+067F | ARABIC LETTER TEHEH FINAL FORM                                           | ARABIC LETTER TEHEH                            |
| U+FB64->U+067F | ARABIC LETTER TEHEH INITIAL FORM                                         | ARABIC LETTER TEHEH                            |
| U+FB66->U+0679 | ARABIC LETTER TTEH ISOLATED FORM                                         | ARABIC LETTER TTEH                             |
| U+FB67->U+0679 | ARABIC LETTER TTEH FINAL FORM                                            | ARABIC LETTER TTEH                             |
| U+FB68->U+0679 | ARABIC LETTER TTEH INITIAL FORM                                          | ARABIC LETTER TTEH                             |
| U+FB6A->U+06A4 | ARABIC LETTER VEH ISOLATED FORM                                          | ARABIC LETTER VEH                              |
| U+FB6B->U+06A4 | ARABIC LETTER VEH FINAL FORM                                             | ARABIC LETTER VEH                              |
| U+FB6C->U+06A4 | ARABIC LETTER VEH INITIAL FORM                                           | ARABIC LETTER VEH                              |
| U+FB6E->U+06A6 | ARABIC LETTER PEHEH ISOLATED FORM                                        | ARABIC LETTER PEHEH                            |
| U+FB6F->U+06A6 | ARABIC LETTER PEHEH FINAL FORM                                           | ARABIC LETTER PEHEH                            |
| U+FB70->U+06A6 | ARABIC LETTER PEHEH INITIAL FORM                                         | ARABIC LETTER PEHEH                            |
| U+FB72->U+0684 | ARABIC LETTER DYEH ISOLATED FORM                                         | ARABIC LETTER DYEH                             |
| U+FB73->U+0684 | ARABIC LETTER DYEH FINAL FORM                                            | ARABIC LETTER DYEH                             |
| U+FB74->U+0684 | ARABIC LETTER DYEH INITIAL FORM                                          | ARABIC LETTER DYEH                             |
| U+FB76->U+0683 | ARABIC LETTER NYEH ISOLATED FORM                                         | ARABIC LETTER NYEH                             |
| U+FB77->U+0683 | ARABIC LETTER NYEH FINAL FORM                                            | ARABIC LETTER NYEH                             |
| U+FB78->U+0683 | ARABIC LETTER NYEH INITIAL FORM                                          | ARABIC LETTER NYEH                             |
| U+FB7A->U+0686 | ARABIC LETTER TCHEH ISOLATED FORM                                        | ARABIC LETTER TCHEH                            |
| U+FB7B->U+0686 | ARABIC LETTER TCHEH FINAL FORM                                           | ARABIC LETTER TCHEH                            |
| U+FB7C->U+0686 | ARABIC LETTER TCHEH INITIAL FORM                                         | ARABIC LETTER TCHEH                            |
| U+FB7E->U+0687 | ARABIC LETTER TCHEHEH ISOLATED FORM                                      | ARABIC LETTER TCHEHEH                          |
| U+FB7F->U+0687 | ARABIC LETTER TCHEHEH FINAL FORM                                         | ARABIC LETTER TCHEHEH                          |
| U+FB80->U+0687 | ARABIC LETTER TCHEHEH INITIAL FORM                                       | ARABIC LETTER TCHEHEH                          |
| U+FB82->U+068D | ARABIC LETTER DDAHAL ISOLATED FORM                                       | ARABIC LETTER DDAHAL                           |
| U+FB83->U+068D | ARABIC LETTER DDAHAL FINAL FORM                                          | ARABIC LETTER DDAHAL                           |
| U+FB84->U+068C | ARABIC LETTER DAHAL ISOLATED FORM                                        | ARABIC LETTER DAHAL                            |
| U+FB85->U+068C | ARABIC LETTER DAHAL FINAL FORM                                           | ARABIC LETTER DAHAL                            |
| U+FB86->U+068E | ARABIC LETTER DUL ISOLATED FORM                                          | ARABIC LETTER DUL                              |
| U+FB87->U+068E | ARABIC LETTER DUL FINAL FORM                                             | ARABIC LETTER DUL                              |
| U+FB88->U+0688 | ARABIC LETTER DDAL ISOLATED FORM                                         | ARABIC LETTER DDAL                             |
| U+FB89->U+0688 | ARABIC LETTER DDAL FINAL FORM                                            | ARABIC LETTER DDAL                             |
| U+FB8A->U+0698 | ARABIC LETTER JEH ISOLATED FORM                                          | ARABIC LETTER JEH                              |
| U+FB8B->U+0698 | ARABIC LETTER JEH FINAL FORM                                             | ARABIC LETTER JEH                              |
| U+FB8C->U+0691 | ARABIC LETTER RREH ISOLATED FORM                                         | ARABIC LETTER RREH                             |
| U+FB8D->U+0691 | ARABIC LETTER RREH FINAL FORM                                            | ARABIC LETTER RREH                             |
| U+FB8E->U+06A9 | ARABIC LETTER KEHEH ISOLATED FORM                                        | ARABIC LETTER KEHEH                            |
| U+FB8F->U+06A9 | ARABIC LETTER KEHEH FINAL FORM                                           | ARABIC LETTER KEHEH                            |
| U+FB90->U+06A9 | ARABIC LETTER KEHEH INITIAL FORM                                         | ARABIC LETTER KEHEH                            |
| U+FB92->U+06AF | ARABIC LETTER GAF ISOLATED FORM                                          | ARABIC LETTER GAF                              |
| U+FB93->U+06AF | ARABIC LETTER GAF FINAL FORM                                             | ARABIC LETTER GAF                              |
| U+FB94->U+06AF | ARABIC LETTER GAF INITIAL FORM                                           | ARABIC LETTER GAF                              |
| U+FB96->U+06B3 | ARABIC LETTER GUEH ISOLATED FORM                                         | ARABIC LETTER GUEH                             |
| U+FB97->U+06B3 | ARABIC LETTER GUEH FINAL FORM                                            | ARABIC LETTER GUEH                             |
| U+FB98->U+06B3 | ARABIC LETTER GUEH INITIAL FORM                                          | ARABIC LETTER GUEH                             |
| U+FB9A->U+06B1 | ARABIC LETTER NGOEH ISOLATED FORM                                        | ARABIC LETTER NGOEH                            |
| U+FB9B->U+06B1 | ARABIC LETTER NGOEH FINAL FORM                                           | ARABIC LETTER NGOEH                            |
| U+FB9C->U+06B1 | ARABIC LETTER NGOEH INITIAL FORM                                         | ARABIC LETTER NGOEH                            |
| U+FB9E->U+06BA | ARABIC LETTER NOON GHUNNA ISOLATED FORM                                  | ARABIC LETTER NOON GHUNNA                      |
| U+FB9F->U+06BA | ARABIC LETTER NOON GHUNNA FINAL FORM                                     | ARABIC LETTER NOON GHUNNA                      |
| U+FBA0->U+06BB | ARABIC LETTER RNOON ISOLATED FORM                                        | ARABIC LETTER RNOON                            |
| U+FBA1->U+06BB | ARABIC LETTER RNOON FINAL FORM                                           | ARABIC LETTER RNOON                            |
| U+FBA2->U+06BB | ARABIC LETTER RNOON INITIAL FORM                                         | ARABIC LETTER RNOON                            |
| U+FBA4->U+06C0 | ARABIC LETTER HEH WITH YEH ABOVE ISOLATED FORM                           | ARABIC LETTER HEH WITH YEH ABOVE               |
| U+FBA5->U+06C0 | ARABIC LETTER HEH WITH YEH ABOVE FINAL FORM                              | ARABIC LETTER HEH WITH YEH ABOVE               |
| U+FBA6->U+06C1 | ARABIC LETTER HEH GOAL ISOLATED FORM                                     | ARABIC LETTER HEH GOAL                         |
| U+FBA7->U+06C1 | ARABIC LETTER HEH GOAL FINAL FORM                                        | ARABIC LETTER HEH GOAL                         |
| U+FBA8->U+06C1 | ARABIC LETTER HEH GOAL INITIAL FORM                                      | ARABIC LETTER HEH GOAL                         |
| U+FBAA->U+06BE | ARABIC LETTER HEH DOACHASHMEE ISOLATED FORM                              | ARABIC LETTER HEH DOACHASHMEE                  |
| U+FBAB->U+06BE | ARABIC LETTER HEH DOACHASHMEE FINAL FORM                                 | ARABIC LETTER HEH DOACHASHMEE                  |
| U+FBAC->U+06BE | ARABIC LETTER HEH DOACHASHMEE INITIAL FORM                               | ARABIC LETTER HEH DOACHASHMEE                  |
| U+FBAE->U+06D2 | ARABIC LETTER YEH BARREE ISOLATED FORM                                   | ARABIC LETTER YEH BARREE                       |
| U+FBAF->U+06D2 | ARABIC LETTER YEH BARREE FINAL FORM                                      | ARABIC LETTER YEH BARREE                       |
| U+FBB0->U+06D3 | ARABIC LETTER YEH BARREE WITH HAMZA ABOVE ISOLATED FORM                  | ARABIC LETTER YEH BARREE WITH HAMZA ABOVE      |
| U+FBB1->U+06D3 | ARABIC LETTER YEH BARREE WITH HAMZA ABOVE FINAL FORM                     | ARABIC LETTER YEH BARREE WITH HAMZA ABOVE      |
| U+FBD3->U+06AD | ARABIC LETTER NG ISOLATED FORM                                           | ARABIC LETTER NG                               |
| U+FBD4->U+06AD | ARABIC LETTER NG FINAL FORM                                              | ARABIC LETTER NG                               |
| U+FBD5->U+06AD | ARABIC LETTER NG INITIAL FORM                                            | ARABIC LETTER NG                               |
| U+FBD7->U+06C7 | ARABIC LETTER U ISOLATED FORM                                            | ARABIC LETTER U                                |
| U+FBD8->U+06C7 | ARABIC LETTER U FINAL FORM                                               | ARABIC LETTER U                                |
| U+FBD9->U+06C6 | ARABIC LETTER OE ISOLATED FORM                                           | ARABIC LETTER OE                               |
| U+FBDA->U+06C6 | ARABIC LETTER OE FINAL FORM                                              | ARABIC LETTER OE                               |
| U+FBDB->U+06C8 | ARABIC LETTER YU ISOLATED FORM                                           | ARABIC LETTER YU                               |
| U+FBDC->U+06C8 | ARABIC LETTER YU FINAL FORM                                              | ARABIC LETTER YU                               |
| U+FBDD->U+0677 | ARABIC LETTER U WITH HAMZA ABOVE ISOLATED FORM                           | ARABIC LETTER U WITH HAMZA ABOVE               |
| U+FBDE->U+06CB | ARABIC LETTER VE ISOLATED FORM                                           | ARABIC LETTER VE                               |
| U+FBDF->U+06CB | ARABIC LETTER VE FINAL FORM                                              | ARABIC LETTER VE                               |
| U+FBE0->U+06C5 | ARABIC LETTER KIRGHIZ OE ISOLATED FORM                                   | ARABIC LETTER KIRGHIZ OE                       |
| U+FBE1->U+06C5 | ARABIC LETTER KIRGHIZ OE FINAL FORM                                      | ARABIC LETTER KIRGHIZ OE                       |
| U+FBE2->U+06C9 | ARABIC LETTER KIRGHIZ YU ISOLATED FORM                                   | ARABIC LETTER KIRGHIZ YU                       |
| U+FBE3->U+06C9 | ARABIC LETTER KIRGHIZ YU FINAL FORM                                      | ARABIC LETTER KIRGHIZ YU                       |
